iter	Passed	Remaining
0	142	142802
1	145	72470
2	147	49184
3	152	38094
4	156	31195
5	159	26412
6	160	22815
7	162	20169
8	164	18101
9	166	16453
10	167	15075
11	169	13966
12	171	13013
13	173	12223
14	175	11491
15	176	10861
16	178	10299
17	180	9826
18	182	9406
19	183	9014
20	186	8706
21	188	8384
22	190	8093
23	193	7852
24	195	7623
25	197	7387
26	198	7165
27	200	6970
28	202	6788
29	204	6612
30	206	6449
31	208	6314
32	210	6180
33	213	6054
34	215	5932
35	217	5820
36	219	5711
37	221	5602
38	223	5508
39	225	5416
40	227	5321
41	229	5231
42	231	5148
43	233	5065
44	235	4992
45	237	4919
46	239	4853
47	241	4788
48	243	4722
49	245	4660
50	247	4598
51	249	4541
52	251	4494
53	253	4442
54	255	4392
55	257	4343
56	259	4296
57	261	4251
58	263	4205
59	265	4164
60	268	4128
61	270	4098
62	273	4063
63	275	4028
64	277	3991
65	279	3956
66	281	3925
67	284	3897
68	286	3865
69	288	3836
70	291	3808
71	293	3779
72	295	3754
73	297	3724
74	300	3702
75	302	3680
76	304	3651
77	306	3625
78	309	3603
79	311	3579
80	313	3557
81	315	3536
82	318	3520
83	320	3498
84	323	3479
85	325	3461
86	328	3445
87	330	3430
88	333	3416
89	336	3405
90	339	3393
91	342	3379
92	345	3366
93	348	3357
94	351	3346
95	354	3336
96	357	3327
97	360	3315
98	363	3303
99	366	3294
100	368	3282
101	371	3272
102	374	3262
103	377	3255
104	380	3245
105	383	3236
106	386	3224
107	389	3216
108	392	3205
109	395	3196
110	397	3185
111	400	3173
112	402	3161
113	405	3150
114	408	3143
115	411	3133
116	414	3125
117	417	3118
118	420	3111
119	423	3102
120	426	3094
121	428	3087
122	431	3080
123	434	3072
124	437	3062
125	440	3055
126	443	3047
127	446	3040
128	449	3037
129	452	3030
130	455	3020
131	457	3010
132	460	3002
133	463	2996
134	466	2992
135	469	2985
136	472	2977
137	475	2969
138	478	2961
139	480	2953
140	483	2948
141	486	2941
142	489	2934
143	492	2928
144	495	2921
145	498	2914
146	500	2904
147	503	2896
148	505	2889
149	508	2881
150	511	2875
151	514	2868
152	516	2860
153	519	2853
154	522	2846
155	524	2839
156	527	2833
157	530	2827
158	533	2819
159	535	2812
160	538	2805
161	540	2798
162	543	2792
163	546	2785
164	549	2778
165	551	2771
166	553	2763
167	556	2757
168	559	2752
169	562	2745
170	565	2739
171	568	2734
172	571	2730
173	573	2722
174	576	2716
175	578	2708
176	581	2701
177	583	2693
178	585	2686
179	588	2681
180	591	2675
181	593	2669
182	596	2662
183	598	2655
184	601	2649
185	604	2643
186	606	2637
187	609	2632
188	612	2627
189	615	2622
190	618	2620
191	621	2614
192	624	2610
193	627	2606
194	630	2601
195	633	2597
196	635	2591
197	638	2585
198	641	2580
199	643	2575
200	647	2572
201	649	2566
202	652	2562
203	655	2557
204	658	2552
205	661	2548
206	663	2543
207	666	2538
208	669	2534
209	672	2528
210	675	2524
211	678	2521
212	680	2515
213	683	2510
214	686	2506
215	689	2502
216	692	2498
217	695	2493
218	698	2489
219	700	2484
220	703	2480
221	706	2476
222	709	2472
223	712	2468
224	715	2463
225	718	2459
226	721	2455
227	723	2450
228	726	2446
229	729	2442
230	732	2438
231	735	2434
232	738	2431
233	741	2427
234	744	2423
235	747	2419
236	750	2415
237	753	2412
238	756	2408
239	758	2403
240	761	2397
241	763	2392
242	766	2388
243	769	2384
244	772	2381
245	775	2376
246	777	2371
247	780	2366
248	783	2362
249	786	2359
250	789	2354
251	791	2349
252	794	2344
253	796	2340
254	799	2336
255	802	2331
256	805	2328
257	807	2323
258	810	2318
259	813	2314
260	816	2311
261	819	2307
262	821	2302
263	824	2298
264	827	2295
265	830	2291
266	833	2287
267	835	2283
268	838	2279
269	841	2275
270	844	2272
271	847	2267
272	849	2262
273	852	2259
274	855	2254
275	858	2251
276	861	2247
277	863	2242
278	866	2238
279	869	2236
280	872	2232
281	875	2229
282	878	2226
283	881	2223
284	885	2220
285	888	2217
286	891	2214
287	894	2211
288	897	2208
289	901	2207
290	904	2204
291	907	2200
292	910	2198
293	914	2195
294	917	2192
295	920	2189
296	923	2186
297	926	2182
298	929	2178
299	931	2174
300	934	2171
301	938	2168
302	941	2164
303	944	2161
304	946	2157
305	949	2154
306	952	2150
307	955	2146
308	958	2143
309	961	2139
310	963	2135
311	967	2132
312	970	2129
313	972	2125
314	976	2122
315	979	2120
316	982	2117
317	985	2114
318	988	2110
319	991	2106
320	994	2103
321	998	2101
322	1001	2099
323	1004	2096
324	1007	2093
325	1011	2090
326	1014	2087
327	1017	2084
328	1020	2080
329	1023	2078
330	1026	2075
331	1029	2071
332	1032	2068
333	1036	2066
334	1039	2063
335	1042	2061
336	1046	2057
337	1049	2055
338	1053	2053
339	1056	2051
340	1059	2048
341	1062	2044
342	1065	2041
343	1068	2038
344	1071	2035
345	1074	2031
346	1077	2028
347	1081	2025
348	1084	2022
349	1087	2018
350	1089	2014
351	1092	2010
352	1095	2007
353	1098	2004
354	1101	2000
355	1104	1997
356	1106	1993
357	1109	1990
358	1112	1987
359	1116	1984
360	1118	1980
361	1122	1977
362	1125	1975
363	1128	1971
364	1131	1968
365	1134	1965
366	1137	1962
367	1141	1959
368	1144	1956
369	1147	1954
370	1150	1951
371	1153	1947
372	1156	1943
373	1159	1939
374	1161	1936
375	1164	1932
376	1167	1929
377	1169	1925
378	1172	1921
379	1175	1918
380	1179	1915
381	1181	1912
382	1184	1908
383	1187	1904
384	1190	1901
385	1193	1898
386	1196	1894
387	1198	1891
388	1201	1887
389	1204	1884
390	1207	1881
391	1210	1877
392	1213	1874
393	1216	1870
394	1218	1866
395	1222	1863
396	1224	1859
397	1227	1855
398	1229	1852
399	1232	1849
400	1235	1846
401	1239	1843
402	1241	1839
403	1244	1835
404	1247	1832
405	1250	1828
406	1252	1825
407	1255	1821
408	1257	1817
409	1260	1813
410	1263	1810
411	1266	1807
412	1269	1804
413	1272	1800
414	1274	1796
415	1277	1793
416	1280	1790
417	1283	1786
418	1285	1783
419	1288	1779
420	1291	1776
421	1294	1773
422	1297	1770
423	1300	1766
424	1303	1763
425	1305	1759
426	1308	1755
427	1311	1752
428	1314	1749
429	1317	1746
430	1320	1743
431	1323	1739
432	1325	1735
433	1328	1733
434	1331	1729
435	1334	1726
