iter	MultiClass
0	1.000213542
1	0.9183264864
2	0.8514526977
3	0.796667314
4	0.7452075101
5	0.7036387222
6	0.6645183334
7	0.6299179891
8	0.600883131
9	0.5733248597
10	0.5495894597
11	0.5261182987
12	0.507704834
13	0.4896282691
14	0.475871894
15	0.4604912138
16	0.4477040907
17	0.4350079787
18	0.4252226538
19	0.4156543993
20	0.4072170691
21	0.399310647
22	0.3908618731
23	0.383389492
24	0.3756635177
25	0.3703296427
26	0.3646084847
27	0.3592992666
28	0.3540185419
29	0.348964453
30	0.3437161317
31	0.3389522026
32	0.3353414086
33	0.3316038738
34	0.3288337766
35	0.3268082061
36	0.3239936497
37	0.3219269958
38	0.3191085974
39	0.316110506
40	0.3134163822
41	0.3109927981
42	0.307845299
43	0.3059671676
44	0.3042848467
45	0.3029860845
46	0.3013079913
47	0.2995433383
48	0.2975860759
49	0.2964873899
50	0.2952982128
51	0.2939194291
52	0.2929015908
53	0.2915491364
54	0.2895734683
55	0.2883348965
56	0.2865731754
57	0.2855020483
58	0.283906428
59	0.2825728558
60	0.2810207172
61	0.2802992784
62	0.2794039212
63	0.27842327
64	0.2775294971
65	0.2764144398
66	0.2755910635
67	0.2745161491
68	0.2737050287
69	0.2729047554
70	0.2719762842
71	0.2711802717
72	0.2703942547
73	0.2693274045
74	0.2682218348
75	0.2674521331
76	0.2666896068
77	0.2663357285
78	0.2657217542
79	0.2650703732
80	0.264156399
81	0.2634319457
82	0.2629621901
83	0.2625878712
84	0.2617581147
85	0.2608736545
86	0.2603158959
87	0.2592435099
88	0.2587165069
89	0.258114488
90	0.2573520334
91	0.2565570488
92	0.2560183146
93	0.2552602023
94	0.2544843146
95	0.2539028235
96	0.2534729143
97	0.2528646085
98	0.2521050468
99	0.2517880186
100	0.2506979279
101	0.2500060167
102	0.2492182065
103	0.2484344519
104	0.2477005194
105	0.2469597849
106	0.2463470398
107	0.2457950045
108	0.2452564994
109	0.24463038
110	0.2437896034
111	0.2434080369
112	0.2429724603
113	0.2423031933
114	0.2416900831
115	0.2411415151
116	0.2404972773
117	0.2398949544
118	0.2394597236
119	0.2388107951
120	0.2384310946
121	0.2380099166
122	0.2377427811
123	0.2370955416
124	0.2364576734
125	0.2360074329
126	0.2354322673
127	0.234744605
128	0.233952878
129	0.233551592
130	0.23307839
131	0.2326230467
132	0.2321972826
133	0.2317739473
134	0.2314767425
135	0.2311621167
136	0.2307835847
137	0.2305314908
138	0.2300707929
139	0.2294592715
140	0.2286127008
141	0.2283537138
142	0.2278431543
143	0.2272191064
144	0.2265119086
145	0.2259324386
146	0.2255629405
147	0.2252906234
148	0.2249893676
149	0.2246555583
150	0.2242378528
151	0.2237828942
152	0.2235381949
153	0.2234036423
154	0.223043153
155	0.2227095444
156	0.2222056734
157	0.2217700702
158	0.2213626915
159	0.2208540385
160	0.2204094345
161	0.2199557831
162	0.2192066022
163	0.218746382
164	0.2184347628
165	0.2177438787
166	0.2173040886
167	0.2167345145
168	0.2161073597
169	0.2159507697
170	0.2156012593
171	0.2150819733
172	0.2146358377
173	0.2142880637
174	0.2140264328
175	0.2137537491
176	0.2134163255
177	0.2130874924
178	0.2128151532
179	0.2123986372
180	0.2120998655
181	0.2117862142
182	0.2115154462
183	0.2111292687
184	0.2107777906
185	0.2105232734
186	0.2100784717
187	0.2098709496
188	0.2094501774
189	0.2089646136
190	0.2085307014
191	0.2082900736
192	0.2080742457
193	0.2075560468
194	0.2072732104
195	0.2070532202
196	0.2068329082
197	0.2062350303
198	0.2058499458
199	0.205616034
200	0.20524941
201	0.2049600808
202	0.2045225228
203	0.2038808958
204	0.2035904104
205	0.2032463504
206	0.2027098586
207	0.2023601368
208	0.2018979488
209	0.2015659547
210	0.201261287
211	0.2008947992
212	0.2005434333
213	0.2004193265
214	0.2000207425
215	0.1995512235
216	0.1990874753
217	0.198919788
218	0.1985287141
219	0.1982306715
220	0.1979440676
221	0.1975848801
222	0.1972636743
223	0.1968540007
224	0.1965627214
225	0.1963436393
226	0.1960843304
227	0.1955888193
228	0.195289825
229	0.1949066978
230	0.19469632
231	0.1941685645
232	0.1937604927
233	0.193513601
234	0.1931806509
235	0.1928361482
236	0.1923944663
237	0.1921242449
238	0.1917712483
239	0.1915872466
240	0.1912642908
241	0.1908382846
242	0.1906264734
243	0.1903523362
244	0.1901575373
245	0.1898421768
246	0.1895278145
247	0.1893777738
248	0.1888431178
249	0.1884464153
250	0.1881834026
251	0.1878924079
252	0.1876237896
253	0.1872211772
254	0.1870928286
255	0.1868488309
256	0.1866143117
257	0.1861650368
258	0.1858365906
259	0.1856473556
260	0.1853271959
261	0.1851727781
262	0.1849976364
263	0.1847181775
264	0.1842218136
265	0.1839164132
266	0.1838333083
267	0.183397697
268	0.1831121716
269	0.182664037
270	0.1824986422
271	0.1820595602
272	0.181571201
273	0.1811719191
274	0.1806487707
275	0.1804499925
276	0.1801700956
277	0.1800128353
278	0.179610521
279	0.1792869455
280	0.1789095727
281	0.1787000243
282	0.1784932419
283	0.1781802289
284	0.1778546468
285	0.1777245351
286	0.1774704854
287	0.1768955224
288	0.1767213646
289	0.1764626714
290	0.1763335406
291	0.1762644516
292	0.1759303069
