iter	Passed	Remaining
0	216	215939
1	265	132322
2	325	108116
3	387	96590
4	473	94259
5	556	92155
6	604	85778
7	689	85552
8	746	82217
9	810	80235
10	877	78865
11	952	78448
12	1020	77490
13	1067	75206
14	1145	75190
15	1211	74520
16	1270	73487
17	1354	73882
18	1426	73667
19	1484	72762
20	1536	71630
21	1595	70922
22	1640	69698
23	1700	69148
24	1756	68496
25	1841	68981
26	1916	69049
27	1963	68162
28	2019	67614
29	2096	67798
30	2163	67634
31	2237	67691
32	2311	67726
33	2364	67185
34	2435	67140
35	2514	67338
36	2575	67039
37	2651	67126
38	2698	66482
39	2746	65905
40	2793	65341
41	2856	65162
42	2900	64545
43	2976	64662
44	3017	64036
45	3083	63957
46	3158	64038
47	3218	63823
48	3275	63567
49	3333	63342
50	3395	63179
51	3474	63337
52	3525	62991
53	3588	62873
54	3644	62624
55	3709	62534
56	3788	62669
57	3854	62596
58	3933	62728
59	4009	62818
60	4062	62536
61	4109	62166
62	4163	61928
63	4225	61792
64	4295	61790
65	4366	61799
66	4439	61820
67	4521	61966
68	4595	62010
69	4678	62150
70	4775	62490
71	4836	62339
72	4943	62770
73	5004	62628
74	5076	62609
75	5133	62416
76	5201	62354
77	5250	62067
78	5326	62098
79	5398	62085
80	5448	61812
81	5504	61627
82	5559	61419
83	5631	61406
84	5687	61228
85	5739	60996
86	5802	60894
87	5857	60709
88	5909	60488
89	5987	60538
90	6075	60688
91	6166	60856
92	6238	60846
93	6304	60767
94	6368	60666
95	6452	60758
96	6496	60481
97	6549	60284
98	6611	60175
99	6644	59803
100	6717	59791
101	6781	59706
102	6853	59686
103	6920	59624
104	6978	59482
105	7046	59429
106	7107	59319
107	7160	59143
108	7223	59046
109	7271	58833
110	7334	58740
111	7409	58746
112	7461	58567
113	7514	58402
114	7577	58310
115	7651	58306
116	7700	58118
117	7755	57969
118	7813	57847
119	7876	57758
120	7943	57702
121	8002	57590
122	8049	57392
123	8096	57196
124	8192	57344
125	8247	57207
126	8324	57219
127	8396	57199
128	8480	57257
129	8539	57150
130	8599	57046
131	8655	56917
132	8705	56749
133	8765	56651
134	8810	56451
135	8855	56258
136	8915	56163
137	8972	56044
138	9033	55956
139	9081	55787
140	9144	55709
141	9213	55669
142	9310	55797
143	9391	55828
144	9473	55863
145	9530	55749
146	9584	55617
147	9655	55583
148	9714	55481
149	9783	55442
150	9836	55304
151	9896	55212
152	9952	55096
153	10022	55058
154	10071	54903
155	10119	54747
156	10168	54596
157	10221	54469
158	10273	54340
159	10333	54248
160	10388	54134
161	10436	53986
162	10494	53889
163	10553	53796
164	10616	53724
165	10728	53903
